date,symbol,open,high,low,close,volume,vwap
2023-01-03,AAPL,128.2237854341601,128.83399514878522,122.21021915687207,123.09601593017578,112117500,124.71341007861103
2023-01-04,AAPL,124.8873030948284,126.62937150933897,123.10587260552037,124.36566925048828,89113600,124.70030445511588
2023-01-05,AAPL,125.12351256937882,125.75341088924934,122.79092293482029,123.04681396484375,80962700,123.86371592963779
2023-01-06,AAPL,124.02118700839063,128.23362708296847,122.91886125861728,127.57420349121094,87754700,126.24223061093222
2023-01-09,AAPL,128.4108124086458,131.30441322455866,127.83996466106093,128.09585571289062,70790800,129.08007786617006
2023-01-10,AAPL,128.20410381019116,129.18832083166095,126.09787998496417,128.66668701171875,63896200,127.98429594278129
2023-01-11,AAPL,129.17849644752224,131.402821722743,128.40097153395064,131.38314819335938,69458900,130.39564715001768
2023-01-12,AAPL,131.76698078856714,132.14097304777255,129.36548883237654,131.3043975830078,71379600,130.93695315438563
2023-01-13,AAPL,129.94616380817476,132.7905502170586,129.58200833933589,132.63307189941406,57809700,131.6685434852695
2023-01-17,AAPL,132.7019674841355,135.12313266732727,132.01301865225,133.79444885253906,63646600,133.64353339070544
2023-01-18,AAPL,134.66054787823845,136.42228931739672,132.89879142112386,133.07595825195312,69672800,134.1323463301579
2023-01-19,AAPL,131.96384987754826,134.0995994948706,131.65874493478267,133.13507080078125,58280400,132.96447174347819
2023-01-20,AAPL,133.14489665420894,135.84165708820683,132.1016288639502,135.6940155029297,80223600,134.54576715169557
2023-01-23,AAPL,135.94005904305521,141.0579999020067,135.72353008280908,138.88287353515625,81760300,138.55480117332402
2023-01-24,AAPL,138.0954634232415,140.90048744485267,138.08562666123444,140.28042602539062,66435100,139.75551337715925
2023-01-25,AAPL,138.6663258108729,140.18201330953534,136.61915274790366,139.6210174560547,65799300,138.8073945044979
2023-01-26,AAPL,140.91031130402732,141.97326720379098,139.66035181755208,141.68785095214844,54105100,141.1071566578305
2023-01-27,AAPL,140.90051489349364,144.9062704324847,140.82177572822627,143.6267852783203,70555800,143.11827714634376
2023-01-30,AAPL,142.6721140707524,143.2527985417942,140.59541543784155,140.7430419921875,64015300,141.5304186572744
2023-01-31,AAPL,140.4477633640219,142.06187864867766,140.03439402480078,142.01266479492188,65874500,141.3696458228001
2023-02-01,AAPL,141.69774073810188,144.29607334830789,139.08957136310852,143.1346893310547,77663600,142.17344468082368
2023-02-02,AAPL,146.54991104174482,148.79392468833726,145.83143680858885,148.4396209716797,118339000,147.68832748953525
2023-02-03,AAPL,145.69363837431163,154.8960731461596,145.4967979818679,152.0615234375,154357300,150.8181315218425
2023-02-06,AAPL,150.1620046015634,150.6836384438328,148.40024764766747,149.3352508544922,69858300,149.47304564866417
2023-02-07,AAPL,148.2624474794368,152.77999988075524,148.2624474794368,152.2091522216797,83322600,151.08386652729055
2023-02-08,AAPL,151.45131927430748,152.14026818212696,148.78408455222657,149.52224731445312,64120100,150.14886668293556
2023-02-09,AAPL,151.35293706676154,151.89425959205755,148.04596629709286,148.48886108398438,56007100,149.47636232437824
2023-02-10,AAPL,147.32567733632254,149.17882019931434,147.08909918660703,148.85353088378906,57450700,148.37381675657014
2023-02-13,AAPL,148.7944183549585,152.05714887131725,148.76484796074135,151.65301513671875,62199000,150.82500398959246
2023-02-14,AAPL,149.94767374239032,151.57412024796835,148.70567235340334,151.0122528076172,61707600,150.4306818029963
2023-02-15,AAPL,150.92359304982705,153.27946329889457,150.69688165639795,153.1118927001953,65573800,152.3627458851626
2023-02-16,AAPL,151.31781291605773,154.09754945424802,151.16010920849044,151.5149688720703,68167900,152.2575425116029
2023-02-17,AAPL,150.17438009343803,150.81509178729078,148.6958007621901,150.37152099609375,59144100,149.96080451519154
2023-02-21,AAPL,148.05510409777494,149.1394018439348,146.29067235544917,146.3596649169922,58867200,147.2632463721254
2023-02-22,AAPL,146.74408634882758,147.80866542554767,145.0585140913541,146.7835235595703,51011300,146.55023435882404
2023-02-23,AAPL,147.94667430552937,148.1931042440918,145.1373820304515,147.2665252685547,48394200,146.865670514366
2023-02-24,AAPL,145.0092263234326,145.0880857046954,143.6390765358812,144.6149444580078,55469600,144.44736889952813
2023-02-27,AAPL,145.60067024018994,147.039812645864,145.34437348016522,145.8076629638672,44998500,146.06394969663214
2023-02-28,AAPL,144.95008720013072,146.95109701970668,144.7332276594082,145.30494689941406,50547000,145.66309052617632
2023-03-01,AAPL,144.73323786008925,145.1275197577975,142.93922063146897,143.2349395751953,55479000,143.76722665482058
2023-03-02,AAPL,142.31819004940294,144.61491835105835,141.84503384724397,143.8263397216797,52238100,143.42876397332734
2023-03-03,AAPL,145.9259528752422,148.9521198871165,145.22610023869615,148.87326049804688,70732300,147.68382687461985
2023-03-06,AAPL,151.59383305095145,154.06799923846452,151.26855877090114,151.63327026367188,87558000,152.3232760910125
2023-03-07,AAPL,151.50512207262017,151.83041139396585,148.9718301446463,149.43511962890625,56182000,150.0791203891728
2023-03-08,AAPL,150.62784041964048,151.278419098267,149.66183922588297,150.68698120117188,47204800,150.54241317510727
2023-03-09,AAPL,151.36711819838627,152.33311931510104,148.08466971716794,148.4395294189453,53833600,149.61910615040475
2023-03-10,AAPL,148.06496662146847,148.78453780981002,145.5020893181875,146.37937927246094,68572400,146.88866880015283
2023-03-13,AAPL,145.69925527320058,150.95314411845015,145.59082548311505,148.32127380371094,84457100,148.28841446842537
2023-03-14,AAPL,149.11968969699433,151.209410853691,147.95654755608294,150.41098022460938,73695900,149.85897954479444
2023-03-15,AAPL,149.03096880678774,151.06154904978908,147.7791005346977,150.80526733398438,77167900,149.88197230615705
2023-03-16,AAPL,149.98712698991974,154.22572509887632,149.47454848721353,153.6244354248047,76161100,152.44156967029818
2023-03-17,AAPL,153.85115455030763,154.50173325502132,152.07685582876627,152.7865753173828,98944600,153.1217214670568
2023-03-20,AAPL,152.85558396503848,155.56631354554972,151.94870846939224,155.1522979736328,73641400,154.22243999619158
2023-03-21,AAPL,155.0734148747329,157.12369840917287,154.30453974820858,157.0054168701172,73938300,156.14455167583287
2023-03-22,AAPL,157.02518131500096,159.824622189753,155.55645326577164,155.576171875,75701800,156.98574911017488
2023-03-23,AAPL,156.56188320802048,159.24304236266408,155.428296373163,156.6604461669922,67622100,157.11059496760643
2023-03-24,AAPL,156.59142861861952,158.0502895303303,155.59585715875076,157.96157836914062,59196500,157.20257501940725
2023-03-27,AAPL,157.65599726359355,158.47414634705046,155.615550445655,156.0196990966797,52390300,156.70313196312838
2023-03-28,AAPL,155.71418027651652,156.22675885726497,153.75259217928735,155.39874267578125,45992200,155.12603123744452
2023-03-29,AAPL,157.09416533498404,158.75018247951246,157.07446176772007,158.47418212890625,51305700,158.09960879204627
2023-03-30,AAPL,159.22330893800608,160.1498879032855,158.96702721945866,160.0414581298828,49501700,159.71945775087565
2023-03-31,AAPL,160.1203040734608,162.64374399803975,159.59787385661696,162.545166015625,68749800,161.59559462342725
2023-04-03,AAPL,161.92418140899423,163.91532439911353,161.87489241518372,163.7970428466797,56976200,163.19575322032566
